"ID_Month","City","State","Latitude","Longitude","Altitude","ID","Monthly mean dry bulb temperature","Monthly mean dew point temperature","Monthly mean relative humidity","Monthly mean atmospheric pressure","Monthly mean global horizontal radiation","Monthly mean direct normal radiation","Monthly mean diffuse horizontal radiation","Monthly mean wind speed"
"BRA_SC_Sao.Miguel.do.Oeste.AP.869370_INMET_08","Sao Miguel do Oeste AP","SC",-26.78,-53.5,665,"BRA_SC_Sao.Miguel.do.Oeste.AP.869370_INMET",17.7997311827957,12.6349462365591,74.7862903225806,94022.1774193548,144.206989247312,47.7822580645161,66.755376344086,3.27163978494624
"BRA_SC_Sao.Miguel.do.Oeste.AP.869370_INMET_09","Sao Miguel do Oeste AP","SC",-26.78,-53.5,665,"BRA_SC_Sao.Miguel.do.Oeste.AP.869370_INMET",15.6013888888889,9.34958333333333,69.8944444444444,94158.1111111111,192.275,79.0111111111111,80.7069444444444,3.38402777777778
"BRA_SC_Sao.Miguel.do.Oeste.AP.869370_INMET_10","Sao Miguel do Oeste AP","SC",-26.78,-53.5,665,"BRA_SC_Sao.Miguel.do.Oeste.AP.869370_INMET",19.6345430107527,15.5206989247312,78.9180107526882,93975.7392473118,187.661290322581,75.5819892473118,91.0188172043011,3.34932795698925
"BRA_SC_Sao.Miguel.do.Oeste.AP.869370_INMET_11","Sao Miguel do Oeste AP","SC",-26.78,-53.5,665,"BRA_SC_Sao.Miguel.do.Oeste.AP.869370_INMET",21.8327777777778,15.9781944444444,71.6069444444445,93777.3194444444,268.040277777778,130.652777777778,109.511111111111,2.745
"BRA_SC_Sao.Miguel.do.Oeste.AP.869370_INMET_12","Sao Miguel do Oeste AP","SC",-26.78,-53.5,665,"BRA_SC_Sao.Miguel.do.Oeste.AP.869370_INMET",23.6543010752688,15.108064516129,61.9932795698925,93660.685483871,287.875,143.081989247312,118.129032258065,2.81384408602151
"BRA_SC_Urubici.869680_INMET_01","Urubici","SC",-28.13,-49.48,1810,"BRA_SC_Urubici.869680_INMET",12.4430107526882,11.860752688172,96.1787634408602,82055.7661290323,167.646505376344,45.7137096774194,113.951612903226,5.77903225806452
"BRA_SC_Urubici.869680_INMET_02","Urubici","SC",-28.13,-49.48,1810,"BRA_SC_Urubici.869680_INMET",13.2575892857143,11.9821428571429,92.3943452380952,82051.5922619048,200.755952380952,70.3571428571429,114.724702380952,5.60074404761905
"BRA_SC_Urubici.869680_INMET_03","Urubici","SC",-28.13,-49.48,1810,"BRA_SC_Urubici.869680_INMET",13.1978494623656,11.8079301075269,91.7594086021505,82062.5537634409,165.620967741935,52.6209677419355,96.0255376344086,5.75
"BRA_SC_Urubici.869680_INMET_04","Urubici","SC",-28.13,-49.48,1810,"BRA_SC_Urubici.869680_INMET",11.9066666666667,10.2415277777778,90.1055555555556,81960.5555555556,117.445833333333,35.3888888888889,63.0611111111111,7.59958333333333
"BRA_SC_Urubici.869680_INMET_05","Urubici","SC",-28.13,-49.48,1810,"BRA_SC_Urubici.869680_INMET",10.2717741935484,7.01639784946237,81.3293010752688,82050.0940860215,126.913978494624,36.1263440860215,62.2755376344086,7.98346774193548
"BRA_SC_Urubici.869680_INMET_06","Urubici","SC",-28.13,-49.48,1810,"BRA_SC_Urubici.869680_INMET",7.89277777777778,6.27,89.6763888888889,82033.1944444444,89.6097222222222,19.5736111111111,51.1597222222222,9.78513888888889
"BRA_SC_Urubici.869680_INMET_07","Urubici","SC",-28.13,-49.48,1810,"BRA_SC_Urubici.869680_INMET",9.70537634408602,5.55739247311828,76.5255376344086,82337.9704301075,130.505376344086,39.5940860215054,56.4112903225806,8.99435483870968
"BRA_SC_Urubici.869680_INMET_08","Urubici","SC",-28.13,-49.48,1810,"BRA_SC_Urubici.869680_INMET",10.3373655913978,6.96478494623656,81.4314516129032,82018.6760752688,132.849462365591,38.5564516129032,70.3602150537634,9.48911290322581
"BRA_SC_Urubici.869680_INMET_09","Urubici","SC",-28.13,-49.48,1810,"BRA_SC_Urubici.869680_INMET",8.42083333333333,6.50708333333333,89.7694444444444,82165.9444444444,168.534722222222,60.8180555555556,84.7611111111111,8.17
"BRA_SC_Urubici.869680_INMET_10","Urubici","SC",-28.13,-49.48,1810,"BRA_SC_Urubici.869680_INMET",10.1212365591398,9.17567204301075,94.1491935483871,82142.5134408602,140.313172043011,39.1895161290323,90.8024193548387,7.88870967741935
"BRA_SC_Urubici.869680_INMET_11","Urubici","SC",-28.13,-49.48,1810,"BRA_SC_Urubici.869680_INMET",10.4395833333333,10.04,97.2597222222222,82069.7638888889,165.2125,44.3819444444444,113.293055555556,5.84125
"BRA_SC_Urubici.869680_INMET_12","Urubici","SC",-28.13,-49.48,1810,"BRA_SC_Urubici.869680_INMET",12.0974462365591,10.5555107526882,90.9448924731183,81930.497311828,212.54435483871,76.3951612903226,122.727150537634,5.54408602150538
"BRA_SC_Urussanga.869700_INMET_01","Urussanga","SC",-28.53,-49.32,48,"BRA_SC_Urussanga.869700_INMET",22.6388440860215,18.9801075268817,81.5228494623656,100819.596774194,206.977150537634,82.1666666666667,109.676075268817,0.870564516129032
"BRA_SC_Urussanga.869700_INMET_02","Urussanga","SC",-28.53,-49.32,48,"BRA_SC_Urussanga.869700_INMET",23.8083333333333,20.5875,83.2068452380952,100792.894345238,176.427083333333,62.5282738095238,100.077380952381,0.786458333333333
"BRA_SC_Urussanga.869700_INMET_03","Urussanga","SC",-28.53,-49.32,48,"BRA_SC_Urussanga.869700_INMET",23.335752688172,19.9952956989247,82.7903225806452,100810.120967742,185.939516129032,68.5551075268817,94.1653225806452,0.671908602150538
"BRA_SC_Urussanga.869700_INMET_04","Urussanga","SC",-28.53,-49.32,48,"BRA_SC_Urussanga.869700_INMET",20.5251388888889,17.0859722222222,82.5708333333333,101227.694444444,157.4375,55.5888888888889,74.4208333333333,0.651388888888889
"BRA_SC_Urussanga.869700_INMET_05","Urussanga","SC",-28.53,-49.32,48,"BRA_SC_Urussanga.869700_INMET",17.7850806451613,14.4879032258065,82.9543010752688,101168.575268817,131.950268817204,43.7540322580645,54.9462365591398,0.610887096774194
"BRA_SC_Urussanga.869700_INMET_06","Urussanga","SC",-28.53,-49.32,48,"BRA_SC_Urussanga.869700_INMET",14.0011111111111,10.6586111111111,82.6638888888889,101458.444444444,113.070833333333,33.7638888888889,47.8472222222222,0.637916666666667
