"ID","City","State","Latitude (º)","Longitude (º)","Altitude (m)","Annual mean dry bulb temperature (ºC)","Annual mean dew point temperature (ºC)","Annual mean relative humidity (%)","Annual mean atmospheric pressure (Pa)","Annual mean global horizontal radiation (Wh/m²)","Annual mean direct normal radiation (Wh/m²)","Annual mean diffuse horizontal radiation (Wh/m²)","Annual mean wind speed (m/s)"
"_BA_Itaberaba","Itaberaba","BA",-12.53,-40.31,250,24.9297831050228,19.3959589041096,73.5319634703196,98950.9606164384,200.302625570776,78.5745433789954,102.101255707763,2.18932648401826
"_BA_Itapetinga","Itapetinga","BA",-15.24,-40.24,279,24.6742351598173,19.174497716895,74.4190639269406,98311.8953196347,212.652739726027,87.1690639269406,101.559246575342,2.13638127853881
"_BA_Itirucu","Itiruçu","BA",-13.53,-40.15,756,21.0603767123288,17.4191095890411,81.462100456621,93054.7043378995,195.141210045662,70.5615296803653,105.80399543379,2.66211187214612
"_BA_Jacobina","Jacobina","BA",-11.21,-40.47,453,24.3623744292237,18.0789611872146,70.5643835616438,96381.8139269406,200.419063926941,78.6194063926941,102.456735159817,1.83025114155251
"_BA_Lencois","Lençóis","BA",-12.56,-41.39,439,24.8549315068493,18.056095890411,68.6315068493151,96443.5017123288,193.359474885845,71.7504566210046,98.1477168949772,1.16860730593607
"_BA_Macajuba","Macajuba","BA",-12.14,-40.36,380,24.0560502283105,18.5379109589041,73.8828767123288,97490.9606164384,200.848515981735,79.1364155251142,102.044748858447,2.78473744292237
"_BA_Marau","Maraú","BA",-13.91,-38.97,10,25.6739383561644,21.8040525114155,79.560502283105,101386.070319635,228.65,106.236643835616,95.8905251141553,2.23367579908676
"_BA_Paulo Afonso","Paulo Afonso","BA",-9.41,-38.22,253,26.3247260273973,18.0193264840183,63.4697488584475,98462.2831050228,227.416324200913,101.218835616438,102.229566210046,4.27279680365297
"_BA_Piata","Piatã","BA",-13.16,-41.77,1290,19.7969634703196,14.4267123287671,73.183105022831,87465.9891552511,213.708789954338,96.2020547945205,93.7521689497717,2.37406392694064
"_BA_Porto Seguro","Porto Seguro","BA",-16.39,-39.18,85,23.7429566210046,21.14899543379,86.3087899543379,100502.984018265,199.468493150685,74.328196347032,103.357077625571,1.45938356164384
"_BA_Queimadas","Queimadas","BA",-10.98,-39.62,315,26.132796803653,18.1315867579909,64.8493150684932,97797.796803653,211.500913242009,85.9942922374429,105.304566210046,3.18797945205479
"_BA_Remanso","Remanso","BA",-9.62,-42.08,401,26.8158561643836,18.5306621004566,62.208105022831,96636.9570776256,238.024429223744,112.222488584475,95.2045662100457,2.41122146118721
"_BA_Salvador","Salvador","BA",-12.97,-38.51,51,25.8630936073059,21.59149543379,77.5626712328767,100812.586187215,220.355365296804,99.8955479452055,95.2835616438356,1.27606164383562
"_BA_Santa Rita de Cassia","Santa Rita de Cássia","BA",-11.01,-44.52,450,26.0526826484018,16.3094634703196,59.8423515981735,96123.0845890411,245.244863013699,117.346803652968,95.9001141552511,1.675399543379
"_BA_Senhor do Bonfim","Senhor do Bonfim","BA",-10.44,-40.15,548,23.8542237442922,17.3068949771689,69.9130136986301,95316.2402968036,214.587328767123,94.0554794520548,98.4442922374429,3.1461301369863
"_BA_Serrinha","Serrinha","BA",-11.66,-39.02,339,24.1480365296804,19.033698630137,75.912100456621,97562.3179223744,209.540296803653,84.649200913242,105.040410958904,2.8525799086758
"_BA_Uaua","Uauá","BA",-9.83,-39.5,453,25.4056050228311,17.577796803653,65.1946347031963,96203.8662100457,223.512214611872,97.5583333333333,102.92100456621,3.40785388127854
"_BA_Una","Uná","BA",-15.28,-39.09,82,24.1544520547945,21.2892922374429,84.734703196347,100609.880707763,201.319063926941,75.5837899543379,104.372602739726,1.3886301369863
"_BA_Valenca","Valença","BA",-13.37,-39.07,39,24.2053538812785,21.2072831050228,84.2681506849315,100586.070319635,220.271232876712,93.746803652968,101.123858447489,1.78115296803653
"_BA_Vitoria da Conquista-Figueiredo AP","Vitória da Conquista-Figueiredo AP","BA",-14.87,-40.84,870,20.5997260273973,16.5671917808219,79.6309360730594,91734.1569634703,251.454908675799,108.283561643836,110.465525114155,2.53117579908676
"_CE_Acarau","Acaraú","CE",-3.12,-40.09,76,26.6020776255708,21.9607191780822,77.4068493150685,100403.113584475,231.634474885845,102.545890410959,102.025684931507,3.26094748858447
"_CE_Barbalha","Barbalha","CE",-7.3,-39.27,409,25.5928082191781,18.4689155251142,67.9649543378995,96591.323630137,237.266780821918,113.394063926941,96.2554794520548,1.60251141552511
"_CE_Campos Sales","Campos Sales","CE",-7.08,-40.36,572,24.8671803652968,17.3115525114155,66.5617579908676,94747.4166666667,227.402739726027,102.928652968037,100.198059360731,2.31286529680365
"_CE_Crateus","Crateús","CE",-5.19,-40.67,291,27.0911187214612,18.8034589041096,64.3664383561644,97820.0359589041,222.939840182648,97.0028538812785,102.977739726027,2.13421232876712
"_CE_Fortaleza-Pinto Martins Intl AP","Fortaleza-Pinto Martins Intl AP","CE",-3.8,-38.53,41,26.6534589041096,21.8276826484018,75.6724885844749,100894.321575342,206.754223744292,85.6686073059361,99.4019406392694,2.24060502283105
"_CE_Guaramiranga","Guaramiranga","CE",-4.26,-38.93,38,20.689200913242,18.6621232876712,88.666894977169,91636.8812785388,163.279452054795,56.2981735159817,97.8607305936073,3.12720319634703
"_CE_Iguatu","Iguatu","CE",-6.36,-39.3,233,27.0137671232877,18.6567237442922,64.2159817351598,98614.0953196347,241.559474885845,116.092237442922,95.962100456621,2.57551369863014
"_CE_Itapipoca","Itapipoca","CE",-3.48,-39.59,102,26.8928881278539,21.3357191780822,73.1442922374429,99983.9351598174,212.931278538813,87.9978310502283,101.56198630137,3.39172374429224
"_CE_Jaguaribe","Jaguaribe","CE",-5.91,-38.63,184,27.7834589041096,19.8765867579909,65.839497716895,99355.0799086758,225.830365296804,100.588698630137,101.661187214612,2.72746575342466
"_CE_Jaguaruana","Jaguaruana","CE",-4.79,-37.78,12,27.2449429223744,20.844200913242,70.3727168949772,100970.439497717,242.689155251142,114.030136986301,98.4358447488584,3.02360730593607
"_CE_Morada Nova","Morada Nova","CE",-5.11,-38.37,44,27.1401484018265,20.6499429223744,70.7904109589041,100770.439497717,240.200342465753,112.961073059361,98.6487442922374,2.12753424657534
"_CE_Quixeramobim","Quixeramobim","CE",-5.2,-39.29,80,26.4351712328767,19.7497488584475,70.0674657534247,100387.019406393,223.188926940639,95.3768264840183,104.41700913242,2.36312785388128
"_CE_Taua","Tauá","CE",-6.02,-40.28,415,26.1941780821918,17.0286415525114,61.6251141552511,96555.8430365297,231.366666666667,105.565068493151,99.9227168949772,2.78051369863014
"_DF_Brasilia","Brasilia","DF",-15.78,-47.93,1160,21.0814840182648,13.922602739726,66.2493150684931,88761.6666666667,210.535730593607,89.2400684931507,95.1985159817352,2.46440639269406
"_DF_Planaltina","Planaltina","DF",-15.53,-47.56,1200,20.9538470319635,15.521198630137,74.0376712328767,88761.6666666667,211.458675799087,88.8603881278539,97.541894977169,2.00676940639269
"_ES_Alegre","Alegre","ES",-20.76,-41.53,138,23.9513584474886,18.0557762557078,72.7166666666667,100019.752054795,221.246232876712,103.417465753425,84.9182648401826,1.46957762557078
"_ES_Alfredo Chaves","Alfredo Chaves","ES",-20.64,-40.75,35,23.5806050228311,18.9627283105023,76.8856164383562,101229.711757991,176.348744292237,68.0383561643836,86.0465753424658,1.84197488584475
"_ES_Linhares","Linhares","ES",-19.39,-40.07,40,24.2769748858447,20.0057534246575,78.3525114155251,101156.308219178,205.9600456621,79.5326484018265,98.1681506849315,2.91109589041096
"_ES_Nova Venecia","Nova Venecia","ES",-18.7,-40.39,154,24.2559589041096,19.58149543379,77.3477168949772,99713.3116438356,202.636872146119,79.4477168949772,99.1522831050228,2.0974200913242
"_ES_Presidente Kennedy","Presidente Kennedy","ES",-21.1,-41.04,80,23.9676598173516,19.708801369863,78.3494292237443,100558.944634703,199.657534246575,83.0463470319635,91.5082191780822,3.31772831050228
"_ES_Santa Teresa","Santa Teresa","ES",-19.99,-40.58,998,18.5815182648402,16.6634360730594,89.3535388127854,90623.5445205479,191.73401826484,76.4950913242009,90.7599315068493,2.23321917808219
"_ES_Sao Mateus","São Mateus","ES",-18.72,-39.86,39,23.8641210045662,20.1946347031963,81.0076484018265,101160.037671233,217.889383561644,92.6657534246575,94.1740867579909,2.45422374429224
"_ES_Vitoria","Vitória","ES",-20.32,-40.34,9,24.3972602739726,19.7951369863014,76.9013698630137,101573.988584475,213.825456621005,95.3197488584475,87.6208904109589,2.04801369863014
"_GO_Alto Paraiso de Goias","Alto Paraíso de Goiás","GO",-14.13,-47.51,1260,20.5861757990868,13.6402168949772,67.6721461187215,87660.5051369863,213.401369863014,91.9673515981735,95.1206621004566,2.06584474885845
"_GO_Aragarcas","Aragarças","GO",-15.9,-52.25,347,25.7936643835616,19.0095433789954,69.8729452054795,97491.2694063927,209.176940639269,87.8892694063927,95.803196347032,1.10947488584475
"_GO_Caiaponia","Caiapônia","GO",-16.96,-51.81,737,23.2544292237443,15.4258675799087,66.0810502283105,93027.5993150685,209.716324200913,87.6247716894977,95.3463470319635,1.68213470319635
"_GO_Catalao","Catalão","GO",-18.16,-47.93,890,22.5055821917808,14.4538356164384,64.3574200913242,91422.8664383562,209.741666666667,87.7110730593607,93.07100456621,2.04569634703196
"_GO_Cristalina","Cristalina","GO",-16.79,-47.61,1202,20.7235388127854,15.0040525114155,72.0656392694064,88185.9634703196,205.111073059361,85.0502283105023,95.7283105022831,2.0648401826484
"_GO_Goianesia","Goianésia","GO",-15.32,-49.12,667,24.5350342465753,15.1326369863014,60.4199771689498,93800.8162100457,217.502511415525,92.8547945205479,96.9020547945206,1.23536529680365
"_GO_Goiania","Goiânia","GO",-15.37,-48.78,770,23.2297602739726,15.5629452054795,66.2510273972603,93280.0057077626,211.190296803653,88.8670091324201,96.9259132420091,1.40956621004566
"_GO_Goias","Goiás","GO",-15.93,-50.14,512,24.9807762557078,18.2814269406393,69.9183789954338,95431.2288812785,211.740525114155,91.3293378995434,93.8301369863014,1.21316210045662
"_GO_Itapaci","Itapaci","GO",-14.95,-49.55,522,23.9012442922374,16.8123059360731,69.6856164383562,95100.2606164384,197.63196347032,77.3380136986301,99.9252283105023,1.35639269406393
"_GO_Itumbiara","Itumbiara","GO",-18.41,-49.19,488,23.9172602739726,18.1163812785388,72.8546803652968,95725.0918949772,212.196803652968,88.2519406392694,94.4948630136986,1.89810502283105
"_GO_Jatai","Jataí","GO",-17.88,-51.71,582,22.4153196347032,16.0686301369863,72.3785388127854,93801.6113013699,217.959589041096,91.5114155251142,96.0929223744292,1.59287671232877
"_GO_Luziania","Luziânia","GO",-16.25,-47.95,958,21.9834703196347,15.8525684931507,70.9900684931507,90325.9611872146,213.720662100457,90.5767123287671,96.6873287671233,2.58939497716895
"_GO_Mineiros","Mineiros","GO",-17.57,-52.6,706,22.3729680365297,17.3785388127854,76.6473744292237,93319.4421232877,205.026826484018,81.002397260274,96.3715753424657,1.3734703196347
"_GO_Monte Alegre de Goias","Monte Alegre de Goiás","GO",-13.5,-46.89,1253,24.9642694063927,17.6721347031963,67.3834474885845,87247.0228310502,222.987899543379,99.7085616438356,96.4440639269406,0.576232876712329
"_GO_Morrinhos","Morrinhos","GO",-17.73,-49.1,771,22.3774200913242,15.2821917808219,68.1658675799087,93016.3515981735,222.00502283105,95.3466894977169,94.9301369863014,1.76860730593607
"_GO_Niquelandia","Niquelândia","GO",-14.47,-48.46,583,24.3100342465753,15.8383675799087,63.0624429223744,93877.1369863014,218.88698630137,92.0271689497717,98.546803652968,1.96497716894977
"_GO_Parauna","Paraúna","GO",-16.96,-50.43,678,23.9974543378995,15.5458904109589,63.7945205479452,93686.6430365297,208.053310502283,87.8228310502283,95.0997716894977,1.61720319634703
"_GO_Pires do Rio","Pires do Rio","GO",-17.31,-48.28,752,22.9413356164384,16.6556621004566,70.8011415525114,92948.2203196347,219.283105022831,95.3432648401827,93.5308219178082,1.2799200913242
"_GO_Posse","Posse","GO",-14.09,-46.37,834,24.4375913242009,15.5292579908676,60.784703196347,92128.8675799087,223.827739726027,100.083105022831,96.0079908675799,2.16178082191781
"_GO_Rio Verde","Rio Verde","GO",-17.8,-50.93,782,22.8024771689498,15.1628082191781,66.9227168949772,92639.8652968036,208.676826484018,84.515296803653,95.4211187214612,2.07785388127854
"_GO_Sao Simao","São Simão","GO",-18.99,-50.54,489,23.9858561643836,17.745502283105,71.0804794520548,95710.5171232877,202.064497716895,78.587899543379,95.8132420091324,2.10544520547945
"_MA_Alto Parnaiba","Alto Parnaíba","MA",-9.11,-45.93,281,25.7457305936073,19.8308447488584,73.5888127853881,97902.1055936073,200.795433789954,78.3654109589041,101.616324200913,0.916575342465753
"_MA_Bacabal","Bacabal","MA",-4.24,-44.8,28,27.2779452054795,21.8948630136986,74.9219178082192,100807.115296804,207.502625570776,82.1829908675799,105.166552511416,1.33913242009132
"_MA_Balsas","Balsas","MA",-7.46,-46.03,254,25.9479109589041,20.2383561643836,73.9928082191781,98070.4902968036,219.60901826484,96.3688356164384,97.9002283105023,1.59982876712329
"_MA_Barra do Corda","Barra do Corda","MA",-5.51,-45.24,153,26.2839383561644,21.113196347032,75.4746575342466,99348.3812785388,206.482305936073,81.5416666666667,102.865867579909,1.39793378995434
